TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,
19988477,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,776,237,0,0,0.4,0.007843138," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",8
19988477,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.50756836,5.305542,8.504196,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,0.26367188,0.10215759,0.4046173,776,237,0,0,0.4,0.007843138," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",8
19988587,0.22984314,5.5449677,8.470673,0.22984314,5.5449677,8.470673,0.22984314,5.5449677,8.470673,0.22984314,5.5449677,8.470673,-0.052520752,0.2715912,0.20753479,-0.052520752,0.2715912,0.20753479,771,573.16437,0.17118937,4213.066,0.7375,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",8
19988838,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,0.54107666,5.152313,8.298294,351.3629,1075.546,-2630.465,2299.9673,0.7375,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",8
19988988,0.08618164,5.147522,8.485046,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,17.222595,-8.59375,-39.294434,261.78244,889.43604,406.43195,-3543.1682,0.7375,0.023529414," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19989085,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,0.5506592,5.367798,8.719681,280.49097,725.8269,0,0,0.275,0.003921569," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",9
19989240,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,742,194,0,0,0.6,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",9
19989240,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.45489502,5.305542,8.169006,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,0.26475525,0.10458374,0.40652466,742,194,0,0,0.6,0.015686275," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",9
19989372,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,0.19152832,5.4587708,8.456314,693.22955,612.76196,-431.35687,5487.4785,0.6,0.019607844," ""[Point(1", 0), Point(1, 1), Point(0, 2), Point(0," 1)]""",9
