TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,,,,,,,,,
19452694,-0.8786621,3.9959106,8.781921,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,251,289,0,0,0.77500004,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
19452694,-0.8786621,3.9959106,8.781921,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,22.616577,9.3307495,-31.77948,251,289,0,0,0.77500004,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
19452806,-0.49079895,3.9288788,9.294281,-0.49079895,3.9288788,9.294281,-0.49079895,3.9288788,9.294281,-0.49079895,3.9288788,9.294281,-0.49079895,3.9288788,9.294281,-0.49079895,3.9288788,9.294281,604.71,220.41333,6649.031,-1028.1824,0.77500004,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
19452873,-0.7110748,3.8474731,8.796295,-0.7110748,3.8474731,8.796295,-0.7110748,3.8474731,8.796295,-0.7110748,3.8474731,8.796295,-0.7110748,3.8474731,8.796295,-0.7110748,3.8474731,8.796295,1032.9227,175.17175,4995.5767,-729.5004,0.77500004,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
19453057,-0.69670105,3.890564,9.121902,22.268677,8.982849,-32.113647,22.268677,8.982849,-32.113647,22.268677,8.982849,-32.113647,0.018844604,0.039642334,0.13153076,0.018844604,0.039642334,0.13153076,852.12994,605.70886,-5925.8965,5686.964,0.77500004,0.023529414," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
19453157,-0.509964,3.8187408,8.839386,-0.509964,3.8187408,8.839386,-0.509964,3.8187408,8.839386,0.17477417,0.10430908,0.3620758,0.17477417,0.10430908,0.3620758,0.17477417,0.10430908,0.3620758,340.63007,1073.3699,-3666.2607,3665.6663,0.77500004,0.027450982," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19453262,-1.0031586,3.8378906,8.877686,-1.0031586,3.8378906,8.877686,-1.0031586,3.8378906,8.877686,-1.0031586,3.8378906,8.877686,-1.0031586,3.8378906,8.877686,-1.0031586,3.8378906,8.877686,184,1265,0,0,0.4875,0.015686275," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",45
19453479,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,244,317,0,0,0.4,0.007843138," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",45
19453479,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,-0.9073944,3.9959106,8.8537445,244,317,0,0,0.4,0.007843138," ""[Point(0", 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0," 2)]""",45
