TimeStamp, TYPE_ACC0, TYPE_ACC1, TYPE_ACC2, TYPE_MAG0, TYPE_MAG1, TYPE_MAG2, TYPE_GYRO0, TYPE_GYRO1, TYPE_GYRO2, TYPE_ROTATION0, TYPE_ROTATION1, TYPE_ROTATION2, TYPE_LINEAR0, TYPE_LINEAR1, TYPE_LINEAR2, TYPE_GRAVITY0, TYPE_GRAVITY1, TYPE_GRAVITY2, position_x, position_y, velocity_x, velocity_y, pressure, size, mCurrentPattern, Counter,Name,Pattern
19739541,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,321,685,0,0,0.3125,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19739541,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,-1.1348419,6.792343,7.6111603,321,685,0,0,0.3125,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19739671,-0.5650177,6.428421,7.884094,-0.5650177,6.428421,7.884094,-0.5650177,6.428421,7.884094,-0.5650177,6.428421,7.884094,-0.5650177,6.428421,7.884094,-0.5650177,6.428421,7.884094,639.35144,765.037,6977.889,892.69794,0.7,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19739737,-0.71824646,6.3278656,7.2137146,-0.71824646,6.3278656,7.2137146,-0.71824646,6.3278656,7.2137146,-0.71824646,6.3278656,7.2137146,-0.71824646,6.3278656,7.2137146,-0.71824646,6.3278656,7.2137146,1091.1344,713.01135,4621.9287,-1731.1483,0.7,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19739871,-1.0390778,6.3470154,7.0940094,-1.0390778,6.3470154,7.0940094,-1.0390778,6.3470154,7.0940094,-1.0390778,6.3470154,7.0940094,-1.0390778,6.3470154,7.0940094,-1.0390778,6.3470154,7.0940094,1295.5972,339.44952,-2988.456,-2815.8574,0.7,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19739955,-1.1444244,6.4571533,7.644684,-1.1444244,6.4571533,7.644684,-1.1444244,6.4571533,7.644684,-1.1444244,6.4571533,7.644684,-1.1444244,6.4571533,7.644684,-1.1444244,6.4571533,7.644684,811.07416,172.53363,-6806.744,-219.40059,0.7,0.019607844,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19740022,-1.2545471,6.5098267,7.285553,-1.2545471,6.5098267,7.285553,-1.2545471,6.5098267,7.285553,0.23240662,0.2632904,0.58921814,0.23240662,0.2632904,0.58921814,0.23240662,0.2632904,0.58921814,360.3173,177.0539,-4892.723,487.76337,0.7,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",6,James,C
19740115,-1.0821686,6.519409,8.3198395,-1.0821686,6.519409,8.3198395,0.39094543,-0.17044067,0.024475098,0.39094543,-0.17044067,0.024475098,0.39094543,-0.17044067,0.024475098,0.39094543,-0.17044067,0.024475098,82.5,254.5,0,0,0.22500001,0.007843138,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",7,James,C
19740336,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,311,684,0,0,0.6625,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",7,James,C
19740336,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,-0.7661438,6.5672913,7.3382263,311,684,0,0,0.6625,0.015686275,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",7,James,C
19740439,-0.9624634,6.471512,7.194565,-0.9624634,6.471512,7.194565,-0.9624634,6.471512,7.194565,-0.9624634,6.471512,7.194565,-0.9624634,6.471512,7.194565,-0.9624634,6.471512,7.194565,556.274,674.7217,6683.214,1111.5144,0.6625,0.023529414,"[Point(0, 1), Point(1, 1), Point(2, 1), Point(2, 0), Point(1, 0), Point(0, 0)]",7,James,C
